

########## payment_config  (sample; table has 148 rows) ##########
id,file_line_no,transaction_type_raw,transaction_type_norm,description_raw,description_norm,is_desc_wildcard,amount_field,record_ref_template,summary_pos,summary_neg,raw
18,19,REFUND,REFUND,any,ANY,t,total,txn_ref+sku+date,"","","{""record_ref"": ""txn_ref+sku+date"", ""description"": ""any"", ""amount_field"": ""total"", ""transaction_type"": ""REFUND"", ""to_summary_field_when_negative_amount"": """", ""to_summary_field_when_positive_amount"": """"}"
19,20,ADJUSTMENT,ADJUSTMENT,BUYER_RECHARGE,BUYER_RECHARGE,f,other,ADJUSTMENT_BUYER_RECHARGE+settlement_id+date,total_adjustment_other_buyer_recharge_amt,total_adjustment_other_buyer_recharge_amt,"{""record_ref"": ""ADJUSTMENT_BUYER_RECHARGE+settlement_id+date"", ""description"": ""BUYER_RECHARGE"", ""amount_field"": ""other"", ""transaction_type"": ""ADJUSTMENT"", ""to_summary_field_when_negative_amount"": ""total_adjustment_other_buyer_recharge_amt"", ""to_summary_field_when_positive_amount"": ""total_adjustment_other_buyer_recharge_amt""}"
20,21,ADJUSTMENT,ADJUSTMENT,BUYER_RECHARGE,BUYER_RECHARGE,f,total,ADJUSTMENT_BUYER_RECHARGE+settlement_id+date,"","","{""record_ref"": ""ADJUSTMENT_BUYER_RECHARGE+settlement_id+date"", ""description"": ""BUYER_RECHARGE"", ""amount_field"": ""total"", ""transaction_type"": ""ADJUSTMENT"", ""to_summary_field_when_negative_amount"": """", ""to_summary_field_when_positive_amount"": """"}"
21,22,ADJUSTMENT,ADJUSTMENT,NON-SUBSCRIPTION_FEE_ADJUSTMENT,NON_SUBSCRIPTION_FEE_ADJUSTMENT,f,other,ADJUSTMENT_NON_SUBSCRIPTION_FEE_ADJUSTMENT+settlement_id+date,sales_other,sales_other,"{""record_ref"": ""ADJUSTMENT_NON_SUBSCRIPTION_FEE_ADJUSTMENT+settlement_id+date"", ""description"": ""NON-SUBSCRIPTION_FEE_ADJUSTMENT"", ""amount_field"": ""other"", ""transaction_type"": ""ADJUSTMENT"", ""to_summary_field_when_negative_amount"": ""sales_other"", ""to_summary_field_when_positive_amount"": ""sales_other""}"
22,23,ADJUSTMENT,ADJUSTMENT,NON-SUBSCRIPTION_FEE_ADJUSTMENT,NON_SUBSCRIPTION_FEE_ADJUSTMENT,f,total,ADJUSTMENT_NON_SUBSCRIPTION_FEE_ADJUSTMENT+settlement_id+date,"","","{""record_ref"": ""ADJUSTMENT_NON_SUBSCRIPTION_FEE_ADJUSTMENT+settlement_id+date"", ""description"": ""NON-SUBSCRIPTION_FEE_ADJUSTMENT"", ""amount_field"": ""total"", ""transaction_type"": ""ADJUSTMENT"", ""to_summary_field_when_negative_amount"": """", ""to_summary_field_when_positive_amount"": """"}"
23,24,ADJUSTMENT,ADJUSTMENT,FBA_INVENTORY_REIMBURSEMENT_-_LOST:WAREHOUSE,FBA_INVENTORY_REIMBURSEMENT_LOST_WAREHOUSE,f,other,LOST:WAREHOUSE+sku+settlement_id+date,sales_inventory_reimbursements,expenses_reversed_reimbursements,"{""record_ref"": ""LOST:WAREHOUSE+sku+settlement_id+date"", ""description"": ""FBA_INVENTORY_REIMBURSEMENT_-_LOST:WAREHOUSE"", ""amount_field"": ""other"", ""transaction_type"": ""ADJUSTMENT"", ""to_summary_field_when_negative_amount"": ""expenses_reversed_reimbursements"", ""to_summary_field_when_positive_amount"": ""sales_inventory_reimbursements""}"
24,25,ADJUSTMENT,ADJUSTMENT,FBA_INVENTORY_REIMBURSEMENT_-_LOST:WAREHOUSE,FBA_INVENTORY_REIMBURSEMENT_LOST_WAREHOUSE,f,total,LOST:WAREHOUSE+sku+settlement_id+date,"","","{""record_ref"": ""LOST:WAREHOUSE+sku+settlement_id+date"", ""description"": ""FBA_INVENTORY_REIMBURSEMENT_-_LOST:WAREHOUSE"", ""amount_field"": ""total"", ""transaction_type"": ""ADJUSTMENT"", ""to_summary_field_when_negative_amount"": """", ""to_summary_field_when_positive_amount"": """"}"
25,26,ADJUSTMENT,ADJUSTMENT,FBA_INVENTORY_REIMBURSEMENT_-_GENERAL_ADJUSTMENT,FBA_INVENTORY_REIMBURSEMENT_GENERAL_ADJUSTMENT,f,other,GENERAL ADJUSTMENT+sku+settlement_id+date,sales_inventory_reimbursements,expenses_reversed_reimbursements,"{""record_ref"": ""GENERAL ADJUSTMENT+sku+settlement_id+date"", ""description"": ""FBA_INVENTORY_REIMBURSEMENT_-_GENERAL_ADJUSTMENT"", ""amount_field"": ""other"", ""transaction_type"": ""ADJUSTMENT"", ""to_summary_field_when_negative_amount"": ""expenses_reversed_reimbursements"", ""to_summary_field_when_positive_amount"": ""sales_inventory_reimbursements""}"
26,27,ADJUSTMENT,ADJUSTMENT,FBA_INVENTORY_REIMBURSEMENT_-_GENERAL_ADJUSTMENT,FBA_INVENTORY_REIMBURSEMENT_GENERAL_ADJUSTMENT,f,total,GENERAL ADJUSTMENT+sku+settlement_id+date,"","","{""record_ref"": ""GENERAL ADJUSTMENT+sku+settlement_id+date"", ""description"": ""FBA_INVENTORY_REIMBURSEMENT_-_GENERAL_ADJUSTMENT"", ""amount_field"": ""total"", ""transaction_type"": ""ADJUSTMENT"", ""to_summary_field_when_negative_amount"": """", ""to_summary_field_when_positive_amount"": """"}"
27,28,ADJUSTMENT,ADJUSTMENT,FBA_INVENTORY_REIMBURSEMENT_-_CUSTOMER_RETURN,FBA_INVENTORY_REIMBURSEMENT_CUSTOMER_RETURN,f,other,txn_ref+sku+ADJUSTMENT+settlement_id+date,sales_inventory_reimbursements,expenses_reversed_reimbursements,"{""record_ref"": ""txn_ref+sku+ADJUSTMENT+settlement_id+date"", ""description"": ""FBA_INVENTORY_REIMBURSEMENT_-_CUSTOMER_RETURN"", ""amount_field"": ""other"", ""transaction_type"": ""ADJUSTMENT"", ""to_summary_field_when_negative_amount"": ""expenses_reversed_reimbursements"", ""to_summary_field_when_positive_amount"": ""sales_inventory_reimbursements""}"
