

########## payment_config  (sample; table has 148 rows) ##########
id,file_line_no,transaction_type_raw,transaction_type_norm,description_raw,description_norm,is_desc_wildcard,amount_field,record_ref_template,summary_pos,summary_neg,raw
30,ec70cebe-9656-497b-97de-b7d9d476ac64,payments,40,payment_txn,"""30 June 2026 11:53:38 pm GMT+9"",""12382593803"",""Order"",""503-5487975-3219067"",""BDPRM004QAFE1A"",""BIODANCE Rejuvenating Caviar PDRN Real Deep Mask, Overnight Hydrogel Face Mask, Skin Firming, Radiance, Enhancing Skin Recovery, Korean Skin Care | 1."",""1"",""amazon.com.au"",""Amazon"",""UPPER MOUNT GRAVATT"",""QLD"",""4122"",""27.03"",""1.33"",""0"",""-1.33"",""0"",""0"",""-3.86"",""-6.17"",""0"",""0"",""17.00"",""Released"",""8 July 2026 1:57:48 pm GMT+9""","{""sku"": ""BDPRM004QAFE1A"", ""type"": ""Order"", ""other"": ""0"", ""total"": ""17.00"", ""order ID"": ""503-5487975-3219067"", ""quantity"": ""1"", ""date/time"": ""30 June 2026 11:53:38 pm GMT+9"", ""fulfilment"": ""Amazon"", ""order city"": ""UPPER MOUNT GRAVATT"", ""description"": ""BIODANCE Rejuvenating Caviar PDRN Real Deep Mask, Overnight Hydrogel Face Mask, Skin Firming, Radiance, Enhancing Skin Recovery, Korean Skin Care | 1."", ""marketplace"": ""amazon.com.au"", ""order state"": ""QLD"", ""order postal"": ""4122"", ""selling fees"": ""-3.86"", ""product sales"": ""27.03"", ""settlement ID"": ""12382593803"", ""low value goods"": ""0"", ""shipping credits"": ""1.33"", ""gift wrap credits"": ""0"", ""Transaction status"": ""Released"", ""promotional rebates"": ""-1.33"", ""sales tax collected"": ""0"", ""other transaction fees"": ""0"", ""Transaction Release Date"": ""8 July 2026 1:57:48 pm GMT+9"", ""fulfilment by amazon fees"": ""-6.17""}",2026-09-12 20:34:41.52729+05:30
31,ec70cebe-9656-497b-97de-b7d9d476ac64,payments,41,payment_txn,"""1 July 2026 12:01:10 am GMT+9"",""12382593803"",""Order"",""249-1108046-6570251"",""BIO-S000004059_AU"",""BIODANCE Bio-Collagen Real Deep Mask, Hydrating Overnight Hydrogel Mask, Pore Minimizing, Elasticity, Plumping Improvement, Korean Skincare | 1.19oz(3"",""1"",""amazon.com.au"",""Amazon"",""TAYLORS HILL"",""VIC"",""3037"",""24.59"",""3.33"",""0"",""-3.33"",""0"",""0"",""-3.52"",""-6.17"",""0"",""0"",""14.90"",""Released"",""8 July 2026 4:45:40 am GMT+9""","{""sku"": ""BIO-S000004059_AU"", ""type"": ""Order"", ""other"": ""0"", ""total"": ""14.90"", ""order ID"": ""249-1108046-6570251"", ""quantity"": ""1"", ""date/time"": ""1 July 2026 12:01:10 am GMT+9"", ""fulfilment"": ""Amazon"", ""order city"": ""TAYLORS HILL"", ""description"": ""BIODANCE Bio-Collagen Real Deep Mask, Hydrating Overnight Hydrogel Mask, Pore Minimizing, Elasticity, Plumping Improvement, Korean Skincare | 1.19oz(3"", ""marketplace"": ""amazon.com.au"", ""order state"": ""VIC"", ""order postal"": ""3037"", ""selling fees"": ""-3.52"", ""product sales"": ""24.59"", ""settlement ID"": ""12382593803"", ""low value goods"": ""0"", ""shipping credits"": ""3.33"", ""gift wrap credits"": ""0"", ""Transaction status"": ""Released"", ""promotional rebates"": ""-3.33"", ""sales tax collected"": ""0"", ""other transaction fees"": ""0"", ""Transaction Release Date"": ""8 July 2026 4:45:40 am GMT+9"", ""fulfilment by amazon fees"": ""-6.17""}",2026-09-12 20:34:41.52729+05:30
32,ec70cebe-9656-497b-97de-b7d9d476ac64,payments,42,payment_txn,"""1 July 2026 12:03:32 am GMT+9"",""12382593803"",""Order"",""249-2168452-5087012"",""BIO-S000004221_AU"",""BIODANCE Radiant Vita Niacinamide Real Deep Mask, Water-infused, Overnight Hydrogel Mask, Tone Correction, Texture Refining, Radiant Glow, 3-in-1 Visi"",""1"",""amazon.com.au"",""Amazon"",""BUDERIM"",""QLD"",""4556"",""29.99"",""0"",""0"",""-3.00"",""0"",""0"",""-3.86"",""-5.79"",""0"",""0"",""17.34"",""Released"",""9 July 2026 3:20:42 am GMT+9""","{""sku"": ""BIO-S000004221_AU"", ""type"": ""Order"", ""other"": ""0"", ""total"": ""17.34"", ""order ID"": ""249-2168452-5087012"", ""quantity"": ""1"", ""date/time"": ""1 July 2026 12:03:32 am GMT+9"", ""fulfilment"": ""Amazon"", ""order city"": ""BUDERIM"", ""description"": ""BIODANCE Radiant Vita Niacinamide Real Deep Mask, Water-infused, Overnight Hydrogel Mask, Tone Correction, Texture Refining, Radiant Glow, 3-in-1 Visi"", ""marketplace"": ""amazon.com.au"", ""order state"": ""QLD"", ""order postal"": ""4556"", ""selling fees"": ""-3.86"", ""product sales"": ""29.99"", ""settlement ID"": ""12382593803"", ""low value goods"": ""0"", ""shipping credits"": ""0"", ""gift wrap credits"": ""0"", ""Transaction status"": ""Released"", ""promotional rebates"": ""-3.00"", ""sales tax collected"": ""0"", ""other transaction fees"": ""0"", ""Transaction Release Date"": ""9 July 2026 3:20:42 am GMT+9"", ""fulfilment by amazon fees"": ""-5.79""}",2026-09-12 20:34:41.52729+05:30
33,ec70cebe-9656-497b-97de-b7d9d476ac64,payments,43,payment_txn,"""1 July 2026 12:06:57 am GMT+9"",""12370691583"",""Order"",""250-3112296-1218231"",""BIO-S000004059_AU"",""BIODANCE Bio-Collagen Real Deep Mask, Hydrating Overnight Hydrogel Mask, Pore Minimizing, Elasticity, Plumping Improvement, Korean Skincare | 1.19oz(3"",""1"",""amazon.com.au"",""Amazon"",""BONDI"",""NSW"",""2026"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""Released"",""1 July 2026 12:06:57 am GMT+9""","{""sku"": ""BIO-S000004059_AU"", ""type"": ""Order"", ""other"": ""0"", ""total"": ""0"", ""order ID"": ""250-3112296-1218231"", ""quantity"": ""1"", ""date/time"": ""1 July 2026 12:06:57 am GMT+9"", ""fulfilment"": ""Amazon"", ""order city"": ""BONDI"", ""description"": ""BIODANCE Bio-Collagen Real Deep Mask, Hydrating Overnight Hydrogel Mask, Pore Minimizing, Elasticity, Plumping Improvement, Korean Skincare | 1.19oz(3"", ""marketplace"": ""amazon.com.au"", ""order state"": ""NSW"", ""order postal"": ""2026"", ""selling fees"": ""0"", ""product sales"": ""0"", ""settlement ID"": ""12370691583"", ""low value goods"": ""0"", ""shipping credits"": ""0"", ""gift wrap credits"": ""0"", ""Transaction status"": ""Released"", ""promotional rebates"": ""0"", ""sales tax collected"": ""0"", ""other transaction fees"": ""0"", ""Transaction Release Date"": ""1 July 2026 12:06:57 am GMT+9"", ""fulfilment by amazon fees"": ""0""}",2026-09-12 20:34:41.52729+05:30
34,ec70cebe-9656-497b-97de-b7d9d476ac64,payments,44,payment_txn,"""1 July 2026 12:08:04 am GMT+9"",""12382593803"",""Order"",""503-6910546-2731845"",""BIO-S000004059_AU"",""BIODANCE Bio-Collagen Real Deep Mask, Hydrating Overnight Hydrogel Mask, Pore Minimizing, Elasticity, Plumping Improvement, Korean Skincare | 1.19oz(3"",""1"",""amazon.com.au"",""Amazon"",""GUILDFORD"",""NSW"",""2161"",""24.59"",""3.33"",""0"",""-3.33"",""0"",""0"",""-7.04"",""-6.17"",""0"",""0"",""11.38"",""Released"",""8 July 2026 5:12:30 am GMT+9""","{""sku"": ""BIO-S000004059_AU"", ""type"": ""Order"", ""other"": ""0"", ""total"": ""11.38"", ""order ID"": ""503-6910546-2731845"", ""quantity"": ""1"", ""date/time"": ""1 July 2026 12:08:04 am GMT+9"", ""fulfilment"": ""Amazon"", ""order city"": ""GUILDFORD"", ""description"": ""BIODANCE Bio-Collagen Real Deep Mask, Hydrating Overnight Hydrogel Mask, Pore Minimizing, Elasticity, Plumping Improvement, Korean Skincare | 1.19oz(3"", ""marketplace"": ""amazon.com.au"", ""order state"": ""NSW"", ""order postal"": ""2161"", ""selling fees"": ""-7.04"", ""product sales"": ""24.59"", ""settlement ID"": ""12382593803"", ""low value goods"": ""0"", ""shipping credits"": ""3.33"", ""gift wrap credits"": ""0"", ""Transaction status"": ""Released"", ""promotional rebates"": ""-3.33"", ""sales tax collected"": ""0"", ""other transaction fees"": ""0"", ""Transaction Release Date"": ""8 July 2026 5:12:30 am GMT+9"", ""fulfilment by amazon fees"": ""-6.17""}",2026-09-12 20:34:41.52729+05:30
35,ec70cebe-9656-497b-97de-b7d9d476ac64,payments,45,payment_txn,"""1 July 2026 12:08:04 am GMT+9"",""12382593803"",""Order"",""503-6910546-2731845"",""BIO-S000004059_AU"",""BIODANCE Bio-Collagen Real Deep Mask, Hydrating Overnight Hydrogel Mask, Pore Minimizing, Elasticity, Plumping Improvement, Korean Skincare | 1.19oz(3"",""1"",""amazon.com.au"",""Amazon"",""GUILDFORD"",""NSW"",""2161"",""24.59"",""3.33"",""0"",""-3.33"",""0"",""0"",""0"",""-6.17"",""0"",""0"",""18.42"",""Released"",""8 July 2026 5:12:30 am GMT+9""","{""sku"": ""BIO-S000004059_AU"", ""type"": ""Order"", ""other"": ""0"", ""total"": ""18.42"", ""order ID"": ""503-6910546-2731845"", ""quantity"": ""1"", ""date/time"": ""1 July 2026 12:08:04 am GMT+9"", ""fulfilment"": ""Amazon"", ""order city"": ""GUILDFORD"", ""description"": ""BIODANCE Bio-Collagen Real Deep Mask, Hydrating Overnight Hydrogel Mask, Pore Minimizing, Elasticity, Plumping Improvement, Korean Skincare | 1.19oz(3"", ""marketplace"": ""amazon.com.au"", ""order state"": ""NSW"", ""order postal"": ""2161"", ""selling fees"": ""0"", ""product sales"": ""24.59"", ""settlement ID"": ""12382593803"", ""low value goods"": ""0"", ""shipping credits"": ""3.33"", ""gift wrap credits"": ""0"", ""Transaction status"": ""Released"", ""promotional rebates"": ""-3.33"", ""sales tax collected"": ""0"", ""other transaction fees"": ""0"", ""Transaction Release Date"": ""8 July 2026 5:12:30 am GMT+9"", ""fulfilment by amazon fees"": ""-6.17""}",2026-09-12 20:34:41.52729+05:30
36,ec70cebe-9656-497b-97de-b7d9d476ac64,payments,46,payment_txn,"""1 July 2026 12:08:23 am GMT+9"",""12382593803"",""Order"",""503-3318400-8528619"",""BIO-S000004485_AUS"",""Biodance Sea Kelp Gel Toner Pads, Calming Toner Pads for Sensitive Skin, Oil & Sebum Control, Refreshing Blemish Care, Korean Skin Care | 4.93 fl.oz.("",""1"",""amazon.com.au"",""Amazon"",""Chippendale"",""NSW"",""2008"",""28.09"",""0.83"",""0"",""-0.83"",""0"",""0"",""-4.02"",""-7.76"",""0"",""0"",""16.31"",""Released"",""8 July 2026 5:23:40 am GMT+9""","{""sku"": ""BIO-S000004485_AUS"", ""type"": ""Order"", ""other"": ""0"", ""total"": ""16.31"", ""order ID"": ""503-3318400-8528619"", ""quantity"": ""1"", ""date/time"": ""1 July 2026 12:08:23 am GMT+9"", ""fulfilment"": ""Amazon"", ""order city"": ""Chippendale"", ""description"": ""Biodance Sea Kelp Gel Toner Pads, Calming Toner Pads for Sensitive Skin, Oil & Sebum Control, Refreshing Blemish Care, Korean Skin Care | 4.93 fl.oz.("", ""marketplace"": ""amazon.com.au"", ""order state"": ""NSW"", ""order postal"": ""2008"", ""selling fees"": ""-4.02"", ""product sales"": ""28.09"", ""settlement ID"": ""12382593803"", ""low value goods"": ""0"", ""shipping credits"": ""0.83"", ""gift wrap credits"": ""0"", ""Transaction status"": ""Released"", ""promotional rebates"": ""-0.83"", ""sales tax collected"": ""0"", ""other transaction fees"": ""0"", ""Transaction Release Date"": ""8 July 2026 5:23:40 am GMT+9"", ""fulfilment by amazon fees"": ""-7.76""}",2026-09-12 20:34:41.52729+05:30
37,ec70cebe-9656-497b-97de-b7d9d476ac64,payments,47,payment_txn,"""1 July 2026 12:08:23 am GMT+9"",""12382593803"",""Order"",""503-3318400-8528619"",""BIO-S000002947_AU"",""BIODANCE Hydro Cera-nol Real Deep Mask, Hydrating Overnight Hydrogel Mask, Moisturizing, Redness Reducing, Quick Soothing, Korean Skin Care | Big Smil"",""1"",""amazon.com.au"",""Amazon"",""Chippendale"",""NSW"",""2008"",""26.99"",""0.83"",""0"",""-0.83"",""0"",""0"",""-3.86"",""-5.79"",""0"",""0"",""17.34"",""Released"",""8 July 2026 5:23:40 am GMT+9""","{""sku"": ""BIO-S000002947_AU"", ""type"": ""Order"", ""other"": ""0"", ""total"": ""17.34"", ""order ID"": ""503-3318400-8528619"", ""quantity"": ""1"", ""date/time"": ""1 July 2026 12:08:23 am GMT+9"", ""fulfilment"": ""Amazon"", ""order city"": ""Chippendale"", ""description"": ""BIODANCE Hydro Cera-nol Real Deep Mask, Hydrating Overnight Hydrogel Mask, Moisturizing, Redness Reducing, Quick Soothing, Korean Skin Care | Big Smil"", ""marketplace"": ""amazon.com.au"", ""order state"": ""NSW"", ""order postal"": ""2008"", ""selling fees"": ""-3.86"", ""product sales"": ""26.99"", ""settlement ID"": ""12382593803"", ""low value goods"": ""0"", ""shipping credits"": ""0.83"", ""gift wrap credits"": ""0"", ""Transaction status"": ""Released"", ""promotional rebates"": ""-0.83"", ""sales tax collected"": ""0"", ""other transaction fees"": ""0"", ""Transaction Release Date"": ""8 July 2026 5:23:40 am GMT+9"", ""fulfilment by amazon fees"": ""-5.79""}",2026-09-12 20:34:41.52729+05:30
38,ec70cebe-9656-497b-97de-b7d9d476ac64,payments,48,payment_txn,"""1 July 2026 12:08:26 am GMT+9"",""12382593803"",""Order"",""250-5516746-9312665"",""BIO-S000004059_AU"",""BIODANCE Bio-Collagen Real Deep Mask, Hydrating Overnight Hydrogel Mask, Pore Minimizing, Elasticity, Plumping Improvement, Korean Skincare | 1.19oz(3"",""1"",""amazon.com.au"",""Amazon"",""CHIPPING NORTON"",""NSW"",""2170"",""24.59"",""3.33"",""0"",""-3.33"",""0"",""0"",""-3.52"",""-6.17"",""0"",""0"",""14.90"",""Released"",""8 July 2026 6:03:28 am GMT+9""","{""sku"": ""BIO-S000004059_AU"", ""type"": ""Order"", ""other"": ""0"", ""total"": ""14.90"", ""order ID"": ""250-5516746-9312665"", ""quantity"": ""1"", ""date/time"": ""1 July 2026 12:08:26 am GMT+9"", ""fulfilment"": ""Amazon"", ""order city"": ""CHIPPING NORTON"", ""description"": ""BIODANCE Bio-Collagen Real Deep Mask, Hydrating Overnight Hydrogel Mask, Pore Minimizing, Elasticity, Plumping Improvement, Korean Skincare | 1.19oz(3"", ""marketplace"": ""amazon.com.au"", ""order state"": ""NSW"", ""order postal"": ""2170"", ""selling fees"": ""-3.52"", ""product sales"": ""24.59"", ""settlement ID"": ""12382593803"", ""low value goods"": ""0"", ""shipping credits"": ""3.33"", ""gift wrap credits"": ""0"", ""Transaction status"": ""Released"", ""promotional rebates"": ""-3.33"", ""sales tax collected"": ""0"", ""other transaction fees"": ""0"", ""Transaction Release Date"": ""8 July 2026 6:03:28 am GMT+9"", ""fulfilment by amazon fees"": ""-6.17""}",2026-09-12 20:34:41.52729+05:30
39,ec70cebe-9656-497b-97de-b7d9d476ac64,payments,49,payment_txn,"""1 July 2026 12:08:36 am GMT+9"",""12382593803"",""Order"",""249-3337037-8487006"",""BIO-S000002947_AU"",""BIODANCE Hydro Cera-nol Real Deep Mask, Hydrating Overnight Hydrogel Mask, Moisturizing, Redness Reducing, Quick Soothing, Korean Skin Care | Big Smil"",""1"",""amazon.com.au"",""Amazon"",""WAHROONGA"",""NSW"",""2076"",""26.99"",""3.33"",""0"",""-3.33"",""0"",""0"",""-3.86"",""-5.79"",""0"",""0"",""17.34"",""Released"",""8 July 2026 5:47:16 am GMT+9""","{""sku"": ""BIO-S000002947_AU"", ""type"": ""Order"", ""other"": ""0"", ""total"": ""17.34"", ""order ID"": ""249-3337037-8487006"", ""quantity"": ""1"", ""date/time"": ""1 July 2026 12:08:36 am GMT+9"", ""fulfilment"": ""Amazon"", ""order city"": ""WAHROONGA"", ""description"": ""BIODANCE Hydro Cera-nol Real Deep Mask, Hydrating Overnight Hydrogel Mask, Moisturizing, Redness Reducing, Quick Soothing, Korean Skin Care | Big Smil"", ""marketplace"": ""amazon.com.au"", ""order state"": ""NSW"", ""order postal"": ""2076"", ""selling fees"": ""-3.86"", ""product sales"": ""26.99"", ""settlement ID"": ""12382593803"", ""low value goods"": ""0"", ""shipping credits"": ""3.33"", ""gift wrap credits"": ""0"", ""Transaction status"": ""Released"", ""promotional rebates"": ""-3.33"", ""sales tax collected"": ""0"", ""other transaction fees"": ""0"", ""Transaction Release Date"": ""8 July 2026 5:47:16 am GMT+9"", ""fulfilment by amazon fees"": ""-5.79""}",2026-09-12 20:34:41.52729+05:30
40,ec70cebe-9656-497b-97de-b7d9d476ac64,payments,50,payment_txn,"""1 July 2026 12:11:01 am GMT+9"",""12382593803"",""Order"",""249-0981841-9945450"",""BIO-S000004221_AU"",""BIODANCE Radiant Vita Niacinamide Real Deep Mask, Water-infused, Overnight Hydrogel Mask, Tone Correction, Texture Refining, Radiant Glow, 3-in-1 Visi"",""1"",""amazon.com.au"",""Amazon"",""MIDDLETON GRANGE"",""NSW"",""2171"",""29.99"",""1.66"",""0"",""-1.66"",""0"",""0"",""-4.29"",""-5.79"",""0"",""0"",""19.91"",""Released"",""8 July 2026 5:37:02 am GMT+9""","{""sku"": ""BIO-S000004221_AU"", ""type"": ""Order"", ""other"": ""0"", ""total"": ""19.91"", ""order ID"": ""249-0981841-9945450"", ""quantity"": ""1"", ""date/time"": ""1 July 2026 12:11:01 am GMT+9"", ""fulfilment"": ""Amazon"", ""order city"": ""MIDDLETON GRANGE"", ""description"": ""BIODANCE Radiant Vita Niacinamide Real Deep Mask, Water-infused, Overnight Hydrogel Mask, Tone Correction, Texture Refining, Radiant Glow, 3-in-1 Visi"", ""marketplace"": ""amazon.com.au"", ""order state"": ""NSW"", ""order postal"": ""2171"", ""selling fees"": ""-4.29"", ""product sales"": ""29.99"", ""settlement ID"": ""12382593803"", ""low value goods"": ""0"", ""shipping credits"": ""1.66"", ""gift wrap credits"": ""0"", ""Transaction status"": ""Released"", ""promotional rebates"": ""-1.66"", ""sales tax collected"": ""0"", ""other transaction fees"": ""0"", ""Transaction Release Date"": ""8 July 2026 5:37:02 am GMT+9"", ""fulfilment by amazon fees"": ""-5.79""}",2026-09-12 20:34:41.52729+05:30
41,ec70cebe-9656-497b-97de-b7d9d476ac64,payments,51,payment_txn,"""1 July 2026 12:12:23 am GMT+9"",""12382593803"",""Order"",""249-8826852-6751824"",""BIO-S000004218_AU"",""BIODANCE Refreshing Sea kelp Real Deep Mask, Overnight Hydrogel Mask, Calming, Oil & Sebum Control, Blemish Care, Korean Skincare | 1.19oz(34g) x 4ea"",""1"",""amazon.com.au"",""Amazon"",""CASULA"",""NSW"",""2170"",""22.99"",""1.99"",""0"",""-1.99"",""0"",""0"",""-3.29"",""-6.17"",""0"",""0"",""13.53"",""Released"",""8 July 2026 4:25:16 am GMT+9""","{""sku"": ""BIO-S000004218_AU"", ""type"": ""Order"", ""other"": ""0"", ""total"": ""13.53"", ""order ID"": ""249-8826852-6751824"", ""quantity"": ""1"", ""date/time"": ""1 July 2026 12:12:23 am GMT+9"", ""fulfilment"": ""Amazon"", ""order city"": ""CASULA"", ""description"": ""BIODANCE Refreshing Sea kelp Real Deep Mask, Overnight Hydrogel Mask, Calming, Oil & Sebum Control, Blemish Care, Korean Skincare | 1.19oz(34g) x 4ea"", ""marketplace"": ""amazon.com.au"", ""order state"": ""NSW"", ""order postal"": ""2170"", ""selling fees"": ""-3.29"", ""product sales"": ""22.99"", ""settlement ID"": ""12382593803"", ""low value goods"": ""0"", ""shipping credits"": ""1.99"", ""gift wrap credits"": ""0"", ""Transaction status"": ""Released"", ""promotional rebates"": ""-1.99"", ""sales tax collected"": ""0"", ""other transaction fees"": ""0"", ""Transaction Release Date"": ""8 July 2026 4:25:16 am GMT+9"", ""fulfilment by amazon fees"": ""-6.17""}",2026-09-12 20:34:41.52729+05:30
42,ec70cebe-9656-497b-97de-b7d9d476ac64,payments,52,payment_txn,"""1 July 2026 12:16:13 am GMT+9"",""12382593803"",""Order"",""503-9543506-8097467"",""BIO-S000004059_AU"",""BIODANCE Bio-Collagen Real Deep Mask, Hydrating Overnight Hydrogel Mask, Pore Minimizing, Elasticity, Plumping Improvement, Korean Skincare | 1.19oz(3"",""2"",""amazon.com.au"",""Amazon"",""CABRAMATTA WEST"",""NSW"",""2166"",""49.18"",""1.43"",""0"",""-1.43"",""0"",""0"",""-7.04"",""-12.34"",""0"",""0"",""29.80"",""Released"",""8 July 2026 4:17:14 am GMT+9""","{""sku"": ""BIO-S000004059_AU"", ""type"": ""Order"", ""other"": ""0"", ""total"": ""29.80"", ""order ID"": ""503-9543506-8097467"", ""quantity"": ""2"", ""date/time"": ""1 July 2026 12:16:13 am GMT+9"", ""fulfilment"": ""Amazon"", ""order city"": ""CABRAMATTA WEST"", ""description"": ""BIODANCE Bio-Collagen Real Deep Mask, Hydrating Overnight Hydrogel Mask, Pore Minimizing, Elasticity, Plumping Improvement, Korean Skincare | 1.19oz(3"", ""marketplace"": ""amazon.com.au"", ""order state"": ""NSW"", ""order postal"": ""2166"", ""selling fees"": ""-7.04"", ""product sales"": ""49.18"", ""settlement ID"": ""12382593803"", ""low value goods"": ""0"", ""shipping credits"": ""1.43"", ""gift wrap credits"": ""0"", ""Transaction status"": ""Released"", ""promotional rebates"": ""-1.43"", ""sales tax collected"": ""0"", ""other transaction fees"": ""0"", ""Transaction Release Date"": ""8 July 2026 4:17:14 am GMT+9"", ""fulfilment by amazon fees"": ""-12.34""}",2026-09-12 20:34:41.52729+05:30
43,ec70cebe-9656-497b-97de-b7d9d476ac64,payments,53,payment_txn,"""1 July 2026 12:17:17 am GMT+9"",""12382593803"",""Order"",""249-5534438-5359823"",""BIO-S000004059_AU"",""BIODANCE Bio-Collagen Real Deep Mask, Hydrating Overnight Hydrogel Mask, Pore Minimizing, Elasticity, Plumping Improvement, Korean Skincare | 1.19oz(3"",""1"",""amazon.com.au"",""Amazon"",""WILLOUGHBY"",""NSW"",""2068"",""24.59"",""4.00"",""0"",""0"",""0"",""0"",""-3.52"",""-10.17"",""0"",""0"",""14.90"",""Released"",""9 July 2026 5:48:09 am GMT+9""","{""sku"": ""BIO-S000004059_AU"", ""type"": ""Order"", ""other"": ""0"", ""total"": ""14.90"", ""order ID"": ""249-5534438-5359823"", ""quantity"": ""1"", ""date/time"": ""1 July 2026 12:17:17 am GMT+9"", ""fulfilment"": ""Amazon"", ""order city"": ""WILLOUGHBY"", ""description"": ""BIODANCE Bio-Collagen Real Deep Mask, Hydrating Overnight Hydrogel Mask, Pore Minimizing, Elasticity, Plumping Improvement, Korean Skincare | 1.19oz(3"", ""marketplace"": ""amazon.com.au"", ""order state"": ""NSW"", ""order postal"": ""2068"", ""selling fees"": ""-3.52"", ""product sales"": ""24.59"", ""settlement ID"": ""12382593803"", ""low value goods"": ""0"", ""shipping credits"": ""4.00"", ""gift wrap credits"": ""0"", ""Transaction status"": ""Released"", ""promotional rebates"": ""0"", ""sales tax collected"": ""0"", ""other transaction fees"": ""0"", ""Transaction Release Date"": ""9 July 2026 5:48:09 am GMT+9"", ""fulfilment by amazon fees"": ""-10.17""}",2026-09-12 20:34:41.52729+05:30
44,ec70cebe-9656-497b-97de-b7d9d476ac64,payments,54,payment_txn,"""1 July 2026 12:17:21 am GMT+9"",""12382593803"",""Order"",""249-4254115-3654207"",""BIO-S000004059_AU"",""BIODANCE Bio-Collagen Real Deep Mask, Hydrating Overnight Hydrogel Mask, Pore Minimizing, Elasticity, Plumping Improvement, Korean Skincare | 1.19oz(3"",""1"",""amazon.com.au"",""Amazon"",""NORTH RICHMOND"",""NSW"",""2754"",""24.59"",""0"",""0"",""0"",""0"",""0"",""-3.52"",""-6.17"",""0"",""0"",""14.90"",""Released"",""8 July 2026 5:56:57 pm GMT+9""","{""sku"": ""BIO-S000004059_AU"", ""type"": ""Order"", ""other"": ""0"", ""total"": ""14.90"", ""order ID"": ""249-4254115-3654207"", ""quantity"": ""1"", ""date/time"": ""1 July 2026 12:17:21 am GMT+9"", ""fulfilment"": ""Amazon"", ""order city"": ""NORTH RICHMOND"", ""description"": ""BIODANCE Bio-Collagen Real Deep Mask, Hydrating Overnight Hydrogel Mask, Pore Minimizing, Elasticity, Plumping Improvement, Korean Skincare | 1.19oz(3"", ""marketplace"": ""amazon.com.au"", ""order state"": ""NSW"", ""order postal"": ""2754"", ""selling fees"": ""-3.52"", ""product sales"": ""24.59"", ""settlement ID"": ""12382593803"", ""low value goods"": ""0"", ""shipping credits"": ""0"", ""gift wrap credits"": ""0"", ""Transaction status"": ""Released"", ""promotional rebates"": ""0"", ""sales tax collected"": ""0"", ""other transaction fees"": ""0"", ""Transaction Release Date"": ""8 July 2026 5:56:57 pm GMT+9"", ""fulfilment by amazon fees"": ""-6.17""}",2026-09-12 20:34:41.52729+05:30
45,ec70cebe-9656-497b-97de-b7d9d476ac64,payments,55,payment_txn,"""1 July 2026 12:17:21 am GMT+9"",""12382593803"",""Order"",""249-4254115-3654207"",""BDPRM004QAFE1A"",""BIODANCE Rejuvenating Caviar PDRN Real Deep Mask, Overnight Hydrogel Face Mask, Skin Firming, Radiance, Enhancing Skin Recovery, Korean Skin Care | 1."",""1"",""amazon.com.au"",""Amazon"",""NORTH RICHMOND"",""NSW"",""2754"",""27.03"",""0"",""0"",""0"",""0"",""0"",""-3.86"",""-6.17"",""0"",""0"",""17.00"",""Released"",""8 July 2026 5:56:57 pm GMT+9""","{""sku"": ""BDPRM004QAFE1A"", ""type"": ""Order"", ""other"": ""0"", ""total"": ""17.00"", ""order ID"": ""249-4254115-3654207"", ""quantity"": ""1"", ""date/time"": ""1 July 2026 12:17:21 am GMT+9"", ""fulfilment"": ""Amazon"", ""order city"": ""NORTH RICHMOND"", ""description"": ""BIODANCE Rejuvenating Caviar PDRN Real Deep Mask, Overnight Hydrogel Face Mask, Skin Firming, Radiance, Enhancing Skin Recovery, Korean Skin Care | 1."", ""marketplace"": ""amazon.com.au"", ""order state"": ""NSW"", ""order postal"": ""2754"", ""selling fees"": ""-3.86"", ""product sales"": ""27.03"", ""settlement ID"": ""12382593803"", ""low value goods"": ""0"", ""shipping credits"": ""0"", ""gift wrap credits"": ""0"", ""Transaction status"": ""Released"", ""promotional rebates"": ""0"", ""sales tax collected"": ""0"", ""other transaction fees"": ""0"", ""Transaction Release Date"": ""8 July 2026 5:56:57 pm GMT+9"", ""fulfilment by amazon fees"": ""-6.17""}",2026-09-12 20:34:41.52729+05:30
